C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8     2023-09-18  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Al	Si	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Zr	Sb	Ba	Ce	Pr	Nd	Sm	Eu	Gd	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W Lb2	W La inel	W Lb1 inel	W Lb2 inel	Mo inc	Mo coh	Dt	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000000.spe	260.00	5.97	1	0.010381	-0.008249	0.010160	0.076187	87323	3.75	10.614	12.380	0.000	0.011	2.413	21.272	206.782	13.027	1.086	2.623	43.031	324.369	2.114	10.738	3.078	0.684	0.371	1.002	2.902	0.313	0.987	0.650	1.005	0.779	0.521	1.700	0.000	0.075	1.415	0.529	6.882	1.073	1.232	0.851	2.028	2.113	1.368	2.514	0.568	30.705	13.312	0.121	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000001.spe	260.20	5.98	1	0.010381	-0.008249	0.010160	0.076187	89004	3.84	9.113	12.473	0.018	0.000	2.720	21.046	216.586	14.120	1.029	2.774	40.355	336.492	2.101	9.839	2.961	0.783	0.161	1.371	3.451	0.477	1.170	0.709	1.052	0.806	0.604	1.585	0.000	0.157	1.234	0.257	6.616	1.193	1.121	0.523	2.046	1.809	0.591	2.423	0.780	31.763	13.613	0.122	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000002.spe	260.40	5.99	1	0.010381	-0.008249	0.010160	0.076187	90176	4.15	8.077	12.448	0.013	0.018	2.885	20.749	240.009	14.581	0.964	2.658	37.073	339.013	2.131	8.913	3.041	0.931	0.000	1.493	3.262	1.346	1.189	0.558	1.016	0.833	0.616	1.472	0.000	0.194	1.873	0.000	6.748	1.223	1.314	1.059	2.006	1.903	1.050	2.191	0.784	31.318	13.334	0.123	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000003.spe	260.60	6.00	1	0.010377	-0.008249	0.010160	0.076187	89894	3.42	6.941	12.060	0.000	0.000	2.882	21.293	249.748	13.856	1.004	2.844	31.451	333.107	2.043	7.796	3.158	0.640	0.109	1.501	3.352	1.340	1.487	1.108	0.594	0.793	0.642	1.700	0.000	0.086	1.593	0.119	8.247	1.801	0.761	1.287	1.972	1.991	0.894	2.151	0.523	32.128	13.330	0.123	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000004.spe	260.80	6.00	1	0.010378	-0.008249	0.010140	0.076187	90407	3.59	5.359	12.524	0.000	0.000	3.105	22.421	236.815	15.684	1.120	2.550	27.975	348.944	2.026	6.553	3.429	1.087	0.396	1.352	3.397	0.720	1.335	0.920	0.686	0.754	0.686	1.637	0.000	0.149	1.491	0.383	7.784	1.959	1.129	1.426	2.240	2.072	0.685	2.137	1.087	31.266	13.843	0.124	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000005.spe	261.00	6.00	1	0.010378	-0.008249	0.010140	0.076187	92501	3.55	3.678	13.574	0.000	0.000	2.842	23.083	243.505	16.539	1.119	2.572	24.170	366.588	1.809	4.956	3.353	0.988	0.206	1.349	3.699	0.792	1.482	1.064	0.693	0.796	0.683	1.567	0.000	0.076	1.724	0.372	8.301	1.460	1.033	1.076	2.076	2.060	0.907	1.726	1.319	33.416	14.147	0.126	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000006.spe	261.20	5.97	1	0.010379	-0.008249	0.010140	0.076187	95868	3.88	2.300	14.462	0.000	0.000	2.550	24.688	263.549	18.238	1.350	2.868	20.379	387.499	2.114	3.323	3.759	1.066	0.238	1.289	3.760	1.473	1.309	0.786	0.786	0.819	0.618	1.639	0.000	0.000	1.590	0.556	8.636	1.999	1.330	1.294	1.927	2.175	0.922	1.999	1.317	32.793	14.334	0.128	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000007.spe	261.40	5.93	1	0.010379	-0.008249	0.010165	0.076187	96845	3.93	1.551	14.384	0.000	0.000	2.466	24.309	263.495	18.145	1.269	2.979	19.509	397.906	2.169	2.534	3.842	1.261	0.093	1.835	3.986	0.756	1.507	1.090	0.620	0.771	0.776	1.607	0.000	0.126	1.737	0.000	9.399	1.750	1.318	1.644	1.760	2.486	1.025	1.678	1.336	33.064	14.366	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000008.spe	261.60	5.92	1	0.010376	-0.008249	0.010165	0.076187	96844	3.88	1.241	14.568	0.006	0.000	2.551	25.278	260.260	16.512	1.310	3.110	18.530	398.957	2.237	1.997	3.917	1.387	0.146	1.525	4.309	0.680	1.654	1.347	0.421	0.666	1.011	1.643	0.000	0.021	1.685	0.513	10.541	1.868	1.122	1.746	1.901	1.728	1.280	1.869	1.298	33.948	14.825	0.129	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000009.spe	261.80	5.92	1	0.010376	-0.008249	0.010165	0.076187	96561	3.79	0.975	14.209	0.018	0.000	2.593	26.153	264.020	16.154	1.248	3.076	15.471	394.270	2.182	1.700	3.836	1.052	0.211	1.870	4.238	0.849	1.688	1.292	0.523	0.733	0.833	1.584	0.000	0.037	2.026	0.000	10.584	1.930	1.212	1.669	1.995	1.866	1.263	1.798	1.463	33.631	14.752	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000010.spe	262.00	5.92	1	0.010376	-0.008249	0.010165	0.076187	97180	4.06	0.927	14.317	0.019	0.000	2.583	26.123	269.576	17.007	1.126	3.242	14.283	398.253	1.986	1.265	4.220	1.148	0.468	1.792	4.093	0.692	1.641	1.140	0.592	0.642	0.768	1.574	0.082	0.043	1.850	0.000	11.170	1.992	1.332	1.944	1.768	1.697	1.016	2.330	1.359	33.443	14.566	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000011.spe	262.20	5.91	1	0.010380	-0.008249	0.010165	0.076187	98012	3.94	0.842	14.206	0.000	0.017	2.555	24.787	277.543	17.647	1.358	4.018	15.080	404.200	2.192	0.987	4.227	1.245	0.234	1.638	3.976	0.668	1.387	1.053	0.655	0.709	0.812	1.479	0.000	0.125	2.007	0.439	9.952	2.041	1.551	2.532	2.005	2.081	1.096	2.335	0.959	33.342	14.752	0.130	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000012.spe	262.40	5.92	1	0.010380	-0.008249	0.010184	0.076187	98263	3.97	0.734	14.064	0.000	0.000	2.386	24.603	274.292	17.061	1.341	3.403	14.858	409.025	2.088	0.860	4.116	1.142	0.320	2.048	4.617	1.099	1.396	0.807	0.865	0.672	0.734	1.271	0.052	0.223	2.128	0.058	9.638	1.960	1.687	1.987	2.022	2.363	1.156	2.237	1.443	34.684	14.935	0.131	
C:\Data\UCD\Agriculture\Sharon_ORourke\Shayan\Pellet_8\XRF data\L000013.spe	262.60	5.91	1	0.010378	-0.008249	0.010184	0.076187	97993	3.83	0.730	14.237	0.000	0.000	2.439	24.687	272.422	18.082	1.247	3.227	13.602	406.477	2.195	0.776	3.709	1.362	0.103	1.924	4.462	1.171	1.426	1.071	0.754	0.776	0.688	1.250	0.189	0.314	1.893	0.466	10.561	1.901	1.349	1.401	2.131	1.832	1.182	1.692	1.437	33.892	15.068	0.131	
